Name,Year
Apple I,1976
Apple II,1977
Disk II,1978
Apple II Plus,1979
Bell & Howell Apple II Series,1979
Apple Silentype,1979
Apple III,1980
Novation CAT,1980
Apple Profile,1981
Apple Dot Matrix Printer,1982
Apple IIe,1983
Apple Lisa,1983
Apple III Plus,1983
Apple ImageWriter,1983
Macintosh Mouse,1983
Macintosh 128k,1984
Macintosh 512k,1984
Apple Lisa II,1984
Apple Iic,1984
Apple 410 Color Plotter,1984
Apple Scribe Printer,1984
Apple Disk Iic,1984
Macintosh Mouse,1984
Macintosh XL,1985
Macintosh Plus,1986
Macintosh SE,1987
Macintosh II,1987
Apple Scanner,1988
Macintosh Iix,1988
Macintosh SE/30,1989
Macintosh SE FDHD,1989
Macintosh Portable,1989
Macintosh Iifx,1990
Macintosh Classic II,1991
PowerBook,1991
Macintosh Quadra,1991
 PowerBook 165,1992
Macintosh Performa,1992
Macintosh Color Classic,1993
Macintosh LC,1993
Macintosh TV,1993
Macintosh LC 575,1994
Apple Bandai Pippin,1994
Performa 580,1995
Apple Network Server 500,1996
Power Macintosh 6400,1996
PowerBook 3,1997
eMate 300,1997
Power Macintosh G3,1998
iMac G3,1998
PowerBook G3,1998
iBook,1999
Power Mac G4,1999
AirPort,1999
Apple Cinema Display,1999
iPod G1,2001
Power Mac G4,2001
eMac,2002
iMac G4,2002
Xserve,2002
iPod G2,2002
PowerBook G4,2003
iPod G3,2003
AirPort Express,2004
iPod G4,2004
iPod Photo,2004
iPod Mini G1,2004
Mac Mini,2005
Power Mac G5,2005
iPod G5,2005
iPod Shuffle G1,2005
iPod Nano G1,2005
iMac,2006
MacBook,2006
MacBook Pro,2006
iPod Shuffle G2,2006
iPod Nano G2,2006
iPhone,2007
Mac Mini,2007
iMac,2007
Apple TV,2007
Macbook Air,2008
MacBook (Aluminum Unibody,2008
MacBook Pro (Aluminum Unibody),2008
iPhone 3G,2008
iPod Touch,2008
iPod Nano G4,2008
iMac G3,2009
iPod Classic G6,2008
MacBook (Poly Unibody),2009
iPhone 3GS,2009
iPod Nano G5,2009
iPod Touch G3,2009
Magic Mouse,2009
iPad,2010
iPhone 4,2010
Mac Mini G3,2010
MacBook Air G2,2010
iPod Touch G4,2010
iPod Nano G6,2010
iPod Shuffle G4,2010
Apple TV G2,2010
